"INCIDENT NUMBER","CHARGE ID","CHARGE DATE","REPORT DATE","APPROVED DATE","ATTEMPTED OR COMMITTED","STREET ADDRESS","SUBADDRESS","CITY","STATE","ZIP CODE","DISTRICT","ZONE","SUBZONE","STATUTE TITLE","STATUTE DESCRIPTION","STATUTE CATEGORY","CRIME AGAINST","NIBRS CODE","NIBRS DESCRIPTION","CENSUS BLOCK GROUP","COUNCIL DISTRICT","CRIME PREVENTION DISTRICT","NEIGHBORHOOD","LONGITUDE","LATITUDE","GEOLOCATION"
"21-087821","F1582E4A-A41F-41B0-8D17-3156BEA58F5D","09/01/2021 02:42:00 PM","09/01/2021 05:37:00 PM","09/04/2021 07:59:40 PM","COMMITTED","2131 MAIN ST",,"BATON ROUGE","LA","70802","1","1B","1B1","14:67","THEFT","THEFT","PROPERTY","23G","THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES",,"10",,"DOWNTOWN EAST","-91.16683","30.45217","POINT (-91.166834 30.452172)"
"21-086903","CF63EF04-A646-4ED9-A88E-EDCAD14B9DE6","08/30/2021 05:41:05 PM","09/01/2021 03:37:02 PM","09/02/2021 09:06:42 AM","COMMITTED","150 S 17TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:67","THEFT","THEFT","PROPERTY","23H","ALL OTHER LARCENY",,"10",,"DOWNTOWN EAST","-91.17201","30.44705","POINT (-91.172009 30.447047)"
"21-086928","411B68F0-637B-46F7-9196-78B79A9622A8","08/30/2021 06:05:28 PM","08/30/2021 06:05:00 PM","09/02/2021 01:13:25 PM","COMMITTED","1110 CONVENTION ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:63.3","ENTRY OR REMAINING AFTER BEING FORBIDDEN","NUISANCE","SOCIETY","90J","TRESPASS OF REAL PROPERTY",,"10",,"DOWNTOWN EAST","-91.17840","30.44841","POINT (-91.1784 30.448405)"
"21-086146","2EE37192-5E3C-43DD-A3EA-CBBC48D41E27","08/29/2021 11:09:08 AM","08/29/2021 02:39:22 PM","09/02/2021 12:16:22 PM","COMMITTED","735 IBERVILLE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17484","30.44111","POINT (-91.174843 30.441112)"
"21-085898","233786E1-4853-49BE-8192-E7E7E4B4510D","08/28/2021 04:52:39 PM","08/28/2021 05:27:02 PM","08/28/2021 07:41:47 PM","COMMITTED","1000 GOVERNMENT ST",,"BATON ROUGE","LA","70802","5","5A","5A1","14:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17951","30.44332","POINT (-91.179512 30.443321)"
"21-083753","24F37733-F043-4BCD-98BD-202EFB0EB0C9","08/23/2021 07:43:22 AM","08/26/2021 07:18:01 PM","08/31/2021 09:27:14 AM","COMMITTED","737 EAST BLVD",,"BATON ROUGE","LA","70802","5","5A","5A1","13:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17936","30.44167","POINT (-91.179361 30.441666)"
"21-084835","F771555F-CBB8-4B88-8BF0-0B7E01810254","08/25/2021 09:44:06 PM","08/25/2021 10:03:28 PM","08/26/2021 06:21:58 PM","COMMITTED","600 S 15TH ST",,"BATON ROUGE","LA","70802","2","2A","2A1","13:966","POSSESSION OF MARIJUANA","NARCOTICS","SOCIETY","35A","DRUG/NARCOTIC VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17287","30.44177","POINT (-91.172872 30.441766)"
"21-084381","118EBD1F-9918-44C5-88FE-206000AE6A70","08/24/2021 04:39:18 PM","08/24/2021 09:26:24 PM","08/27/2021 01:26:14 PM","COMMITTED","200 N 13TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:64.3","ARMED ROBBERY; USE OF A FIREARM","FIREARM","PROPERTY","120","ROBBERY",,"10",,"DOWNTOWN EAST","-91.17627","30.44862","POINT (-91.176267 30.448616)"
"21-083916","36AE1791-4CD5-4985-AEC7-AE72F50168B1","08/23/2021 03:40:00 PM","08/23/2021 04:09:13 PM","08/23/2021 09:00:34 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-083808","9D21EC70-8590-473F-B16B-FCBBDD3BA71A","08/23/2021 10:26:48 AM","08/23/2021 10:26:00 AM","08/31/2021 09:26:21 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-083769","3727D8A4-CD83-4DB7-9596-2ACCF28A351E","08/23/2021 08:50:00 AM","08/23/2021 10:13:13 AM","08/23/2021 09:01:56 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-083496","A28CDC9C-1582-4779-AE47-3021F8BBDB48","08/22/2021 01:34:20 PM","08/23/2021 07:27:00 AM","08/23/2021 01:56:29 PM","COMMITTED","900-998 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.18002","30.44957","POINT (-91.18002 30.449567)"
"21-083742","009C3E16-EA70-4FA8-BBD3-ACFE862B9E38","08/23/2021 07:12:18 AM","08/23/2021 07:14:41 AM","08/23/2021 03:11:07 PM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A2","14:106","OBSCENITY","NUISANCE","SOCIETY","370","PORNOGRAPHY/OBSCENE MATERIAL",,"10",,"DOWNTOWN EAST",,,
"21-083480","A0B4CB01-90FF-4757-B495-376439075303","08/22/2021 12:24:24 PM","08/23/2021 07:07:45 AM","08/23/2021 01:57:20 PM","COMMITTED","900-998 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.18011","30.44956","POINT (-91.18011 30.449563)"
"21-082823","9A8F7E4F-5CCE-47BE-8B69-30F1BB88D6C1","08/20/2021 04:22:02 PM","08/21/2021 04:46:58 PM","08/22/2021 04:34:05 PM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-082024","2582B959-CAE1-415D-B2D3-9E2B08935719","08/18/2021 03:37:52 PM","08/19/2021 10:03:07 PM","03/11/2023 11:52:48 AM","COMMITTED",,,"BATON ROUGE","LA","70802","5","5A","5A1","13:35.3","DOMESTIC ABUSE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST",,,
"21-082242","7E8DCA02-C9D3-41E9-B57F-DB4F745B379C","08/19/2021 08:35:16 AM","08/19/2021 09:00:12 AM","08/23/2021 12:06:36 PM","COMMITTED","N INTERSTATE 110 HWY / FUQUA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:37.4","AGGRAVATED ASSAULT WITH A FIREARM","ASSAULT","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST","-91.17106","30.45724","POINT (-91.171055 30.457241)"
"21-081543","51FD2ACC-B460-4046-9957-6D6DDE264292","08/17/2021 09:30:14 AM","08/18/2021 07:37:26 AM","08/18/2021 09:33:08 AM","COMMITTED","744 N 11TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17852","30.45445","POINT (-91.178515 30.454452)"
"21-081772","A84523E7-3A7F-4FE1-A540-A87358FCE027","08/17/2021 08:29:01 PM","08/18/2021 01:42:05 AM","03/10/2023 09:41:28 AM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A1","14:37.7","DOMESTIC ABUSE AGGRAVATED ASSAULT","ASSAULT","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST",,,
"21-081264","6119F6B4-903C-4BF9-AD01-8CA6D9B8B1B3","08/16/2021 03:23:24 PM","08/16/2021 06:03:25 PM","08/16/2021 08:59:17 PM","COMMITTED","737 S 16TH ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:55","AGGRAVATED CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17206","30.44081","POINT (-91.172061 30.440811)"
"21-081264","611B2409-541C-4C4D-B49E-A688DEBE726A","08/16/2021 03:23:24 PM","08/16/2021 06:03:25 PM","08/16/2021 08:59:17 PM","COMMITTED","737 S 16TH ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:94","ILLEGAL USE OF WEAPONS OR DANGEROUS INSTRUMENTALITIES","BATTERY","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST","-91.17206","30.44081","POINT (-91.172061 30.440811)"
"21-080441","ADB39E22-5032-4D08-A41A-F097EB6EDC91","08/13/2021 07:00:00 PM","08/15/2021 07:17:30 AM","08/16/2021 05:52:51 AM","COMMITTED","1306 MAIN ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17577","30.45154","POINT (-91.175772 30.451543)"
"21-074267","42F4BF87-D127-419E-8671-FEEE72E73C1D","07/28/2021 06:31:11 PM","08/14/2021 02:33:02 PM","03/03/2023 12:50:31 PM","ATTEMPTED","125 N 13TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:30","FIRST DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17638","30.44811","POINT (-91.176383 30.448108)"
"21-074267","3900C3B7-1C6B-4A60-A8F1-72EA12A444FF","07/28/2021 06:31:11 PM","08/14/2021 02:33:02 PM","03/03/2023 12:50:31 PM","COMMITTED","125 N 13TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:30","FIRST DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17638","30.44811","POINT (-91.176383 30.448108)"
"21-074267","BB845046-EFF9-4E0F-A966-755F1A32210A","07/28/2021 06:31:11 PM","08/14/2021 02:33:02 PM","03/03/2023 12:50:31 PM","ATTEMPTED","125 N 13TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:30","FIRST DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17638","30.44811","POINT (-91.176383 30.448108)"
"21-080386","65D28A1B-BE60-4674-81A5-1B0BD88383F8","08/14/2021 07:16:01 AM","08/14/2021 07:58:20 AM","08/14/2021 07:42:32 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-080339","27A327E6-3883-437F-9048-353456C0C1A5","08/14/2021 12:24:00 AM","08/14/2021 12:24:00 AM","08/23/2021 01:26:58 AM","COMMITTED","1137 CONVENTION ST",,"BATON ROUGE","LA","70802","1","1A","1A1","C.CR.P. ART 575","FUGITIVE","OTHER",,,,,"10",,"DOWNTOWN EAST","-91.17779","30.44876","POINT (-91.17779 30.44876)"
"21-080233","ADBAE743-E878-402A-8C2E-09DDB579BFAB","08/13/2021 07:54:50 PM","08/13/2021 08:00:00 PM","08/18/2021 10:09:32 AM","COMMITTED","353 N 12TH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:285","IMPROPER TELEPHONE COMMUNICATION/CC","NUISANCE","PERSON","13C","INTIMIDATION",,"10",,"DOWNTOWN EAST","-91.17761","30.45018","POINT (-91.177608 30.45018)"
"21-080034","4AB21FD2-9537-450E-B1ED-A61D4A453863","08/13/2021 11:15:00 AM","08/13/2021 12:04:48 PM","08/17/2021 08:18:16 AM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","14:34.8","BATTERY OF EMERGENCY ROOM, EMERGENCY SERVICES, OR HEALTHCARE PERSONNEL","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-080034","55ACB6D9-7521-415B-A891-192E31DE5754","08/13/2021 11:15:00 AM","08/13/2021 12:04:48 PM","08/17/2021 08:18:16 AM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","C.CR.P. ART 575","FUGITIVE","OTHER",,,,,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-080034","737E766D-A20E-4463-A151-BDA9F05D5EEF","08/13/2021 11:15:00 AM","08/13/2021 12:04:48 PM","08/17/2021 08:18:16 AM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","40:966(A)","POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE I","NARCOTICS","SOCIETY","35A","DRUG/NARCOTIC VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-080034","C2B4333F-05EC-4AF7-87F9-357BEC8D7F04","08/13/2021 11:15:00 AM","08/13/2021 12:04:48 PM","08/17/2021 08:18:16 AM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","40:967(A)","POSSESSION\DISTRBUTION MANUFACTURING SCHEDULE II","NARCOTICS","SOCIETY","35A","DRUG/NARCOTIC VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-080034","E2ACC40E-E37C-420A-B77C-A21EB315754C","08/13/2021 11:15:00 AM","08/13/2021 12:04:48 PM","08/17/2021 08:18:16 AM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","14:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-079880","92D06CA5-2081-4EB7-AA76-107EE773583C","08/12/2021 11:22:37 PM","08/13/2021 01:44:38 AM","08/14/2021 12:42:54 AM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-078542","14874A66-C17F-479B-8BBE-06256A4D6A10","08/09/2021 11:17:00 AM","08/11/2021 02:56:39 AM","12/19/2022 12:32:19 PM","COMMITTED","1137 CHARLES T. SMITH DR",,"BATON ROUGE","LA","70802","1","1A","1A1","14:35","SIMPLE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17747","30.44634","POINT (-91.177468 30.446336)"
"21-078930","A28C09E9-F96B-4055-95D2-392F5E45C2CB","08/10/2021 01:07:11 PM","08/10/2021 02:13:32 PM","08/11/2021 07:27:13 AM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-078930","E1F6345E-9DFF-446D-9CCD-5EB2363E500F","08/10/2021 01:07:11 PM","08/10/2021 02:13:32 PM","08/11/2021 07:27:13 AM","COMMITTED","1334 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:56","SIMPLE CRIMINAL DAMAGE TO PROPERTY","CRIMINAL DAMAGE TO PROPERTY","PROPERTY","290","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",,"10",,"DOWNTOWN EAST","-91.17601","30.44918","POINT (-91.17601 30.449182)"
"21-070809","11946CD5-451F-4B65-A0D1-4AF6F74042EF","07/19/2021 12:31:33 PM","08/10/2021 08:47:32 AM","08/19/2021 06:51:59 AM","COMMITTED","236 BRICE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17121","30.44612","POINT (-91.171213 30.446124)"
"21-078555","9CA88EBE-4A33-4ED8-BAD7-A9D6742DEBB2","08/09/2021 01:29:49 PM","08/09/2021 01:33:50 PM","08/10/2021 11:07:48 AM","COMMITTED","1736 LAUREL ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:67","THEFT","THEFT","PROPERTY","23A","POCKET-PICKING",,"10",,"DOWNTOWN EAST","-91.17048","30.45070","POINT (-91.170479 30.450701)"
"21-078481","A9893150-AD36-4D1F-8885-EC7969784F21","08/09/2021 09:26:31 AM","08/09/2021 09:39:26 AM","08/10/2021 02:58:55 PM","COMMITTED","1690 NORTH BLVD",,"BATON ROUGE","LA","70802","1","1A","1A1","13:285","IMPROPER TELEPHONE COMMUNICATION/CC","NUISANCE","PERSON","13C","INTIMIDATION",,"10",,"DOWNTOWN EAST","-91.17189","30.44744","POINT (-91.171894 30.447442)"
"21-076461","3A3C8791-FC3B-4D4E-B43B-E2A31D6D5967","08/02/2021 10:00:00 PM","08/08/2021 11:51:55 PM","01/13/2023 09:37:38 AM","COMMITTED","1051 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","13:35","SIMPLE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17978","30.45489","POINT (-91.179777 30.454891)"
"21-078379","4C4C2F87-6EDB-4A87-AEF9-9EF2D9AD6960","08/08/2021 09:30:00 PM","08/08/2021 09:30:00 PM","08/13/2021 08:15:08 PM","COMMITTED","1623 CONVENTION ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:63.3","ENTRY OR REMAINING AFTER BEING FORBIDDEN","NUISANCE","SOCIETY","90J","TRESPASS OF REAL PROPERTY",,"10",,"DOWNTOWN EAST","-91.17238","30.44896","POINT (-91.172381 30.448963)"
